 INFO  Accepting connections at http://localhost:3000
 HTTP  8/14/2025 2:32:30 PM ::1 GET /
 HTTP  8/14/2025 2:32:30 PM ::1 Returned 304 in 16 ms
 HTTP  8/14/2025 2:32:30 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/14/2025 2:32:30 PM ::1 Returned 304 in 2 ms
 HTTP  8/14/2025 2:32:30 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/14/2025 2:32:30 PM ::1 Returned 304 in 3 ms
 HTTP  8/14/2025 2:32:30 PM ::1 GET /favicon.ico
 HTTP  8/14/2025 2:32:30 PM ::1 Returned 304 in 2 ms
 HTTP  8/14/2025 2:32:32 PM ::1 GET /
 HTTP  8/14/2025 2:32:32 PM ::1 Returned 304 in 2 ms
 HTTP  8/14/2025 2:32:32 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/14/2025 2:32:32 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/14/2025 2:32:32 PM ::1 Returned 304 in 2 ms
 HTTP  8/14/2025 2:32:32 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:32 PM ::1 GET /favicon.ico
 HTTP  8/14/2025 2:32:32 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:33 PM ::1 GET /alerts
 HTTP  8/14/2025 2:32:33 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:33 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/14/2025 2:32:33 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/14/2025 2:32:33 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:33 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:33 PM ::1 GET /favicon.ico
 HTTP  8/14/2025 2:32:33 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:42 PM ::1 GET /alerts
 HTTP  8/14/2025 2:32:42 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:42 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/14/2025 2:32:42 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/14/2025 2:32:42 PM ::1 Returned 304 in 0 ms
 HTTP  8/14/2025 2:32:42 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:42 PM ::1 GET /favicon.ico
 HTTP  8/14/2025 2:32:42 PM ::1 Returned 304 in 0 ms
 HTTP  8/14/2025 2:32:44 PM ::1 GET /post-alert
 HTTP  8/14/2025 2:32:44 PM ::1 Returned 304 in 0 ms
 HTTP  8/14/2025 2:32:44 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/14/2025 2:32:44 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/14/2025 2:32:44 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:44 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:32:44 PM ::1 GET /favicon.ico
 HTTP  8/14/2025 2:32:44 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:33:06 PM ::1 GET /alerts
 HTTP  8/14/2025 2:33:06 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:33:06 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/14/2025 2:33:06 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/14/2025 2:33:06 PM ::1 Returned 304 in 1 ms
 HTTP  8/14/2025 2:33:06 PM ::1 Returned 304 in 0 ms
 HTTP  8/14/2025 2:33:06 PM ::1 GET /favicon.ico
 HTTP  8/14/2025 2:33:06 PM ::1 Returned 304 in 1 ms
